variable,pretty_name,pretty_name_short
TC_Path_minus_TC_AI,TC Path Minus TC AI,
Sample.type,(Path) Sample Type,
WSI.Quality_all,(Path) WSI Quality,
WSI.Quality_all_binary,(Path) WSI Quality [binary],(Path) WSI Quality [bin]
Specimen.Quality_all,(Path) Specimen Quality,
Specimen.Quality_all_binary,(Path) Specimen Quality [binary],(Path) Spec. Quality [bin]
Pen.Marks.on.Tissue_all,(Path) Pen Marks on Tissue,
Microtomy.artefacts...Folds.Tissue.Breacks._all,(Path) Microtomy Artifacts,
Microtomy.artefacts...Folds.Tissue.Breacks._all_binary,(Path) Microtomy Artifacts [binary],(Path) Microtomy Art. [bin]
Thick.Specimen_all,(Path) Thick Specimen,
Cautery.Crush.artefact.average_all,(Path) Cautery Crush Artifact,(Path) Cautery/Crush Art.
PATH.evaluable.cancer.area.marked.as.artifacty.by.AI_all,(Path) Cancer Area Marked Artifact by AI,(Path) Ca. Area Mark. Art.
Acute.infflammation_all,(Path) Acute Inflammation,
Hemorrhage.Resection.Biopsy._Extensive.Blood.Content..Cytology.,(Path) Hemorrhage / Ext. Blood Content,(Path) Hemorrhage
Hemorrhage.Resection.Biopsy._Extensive.Blood.Content..Cytology._binary,(Path) Hemorrhage / Ext. Blood Content [binary],(Path) Hemorrhage [bin]
Margin.Ink_Resection,(Path) Margin Ink,
Immune.aggregates_Resection.Biopsy,(Path) Immune Aggregates,
Tumor.Infiltrating.lymphocytes_Resection.Biopsy,(Path) Tumor Infiltrating Lymphocytes,(Path) TILs
Tumor.Infiltrating.lymphocytes_Resection.Biopsy_binary,(Path) Tumor Infiltrating Lymphocytes [binary],(Path) TILs [bin]
High.content.of.intratumoral.immune.infiltrates_Resection.Biopsy,(Path) High Intratumoral Immune Infiltrates,(Path) High Intratum. Immune
Highly.cellular.stroma_Resection.Biopsy,(Path) Highly Cellular Stroma,
Tetriary.Lymphoid.Structures_Resection.Biopsy,(Path) Tertiary Lymphoid Structures,(Path) Tert. Lymph. Struct.
Tumor.Stroma.Content_Resection.Biopsy,(Path) Tumor Stroma Content,
Necrosis_Resection.Biopsy,(Path) Necrosis,
Necrosis_Resection.Biopsy_binary,(Path) Necrosis [binary],
N.Different.tissue.pieces.per.slide_Resection.Biopsy_numeric,(Path) No. of Tissue Pieces per Slide,(Path) N Tissue Pieces/Slide
N.Different.tissue.pieces.per.slide_Resection.Biopsy_fragmented_yes_no,(Path) Tissue Pieces per Slide Fragmented,(Path) Tissue Pieces Frag.
Cancer.content.N.specimens_Resection.Biopsy_numeric,(Path) No. of Specimens with Cancer Content,(Path) N Specs w/ Cancer
Cancer.content.N.specimens_Resection.Biopsy_fragmented_yes_no,(Path) Specimens with Cancer Content Fragmented,(Path) Specs w/ Cancer Frag.
Cautery.Crush.artefact.average_all_yes_no,(Path) Cautery Crush Artifact,(Path) Cautery/Crush Art.
Tissue,Tissue,
SpecimenSite,Specimen Site,
PossiblyUltraLowTC,(Control) Capped at 20 by Pathologist,(Control) Capped at 20
Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tissue...mm.2,(AI) Total Tissue Area [mm²],(AI) Tot. Tissue Area
Foundation.Model...TME.v1.0.1.alpha...Key.Result...Total.area.of.tumor...mm.2,(AI) Total Tumor Area [mm²],(AI) Tot. Tumor Area
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.cancer...mm.2,(AI) Total Cancer Area [mm²],(AI) Tot. Cancer Area
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.stroma...mm.2,(AI) Total Stroma Area [mm²],(AI) Tot. Stroma Area
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.area.of.necrosis...mm.2,(AI) Total Necrosis Area [mm²],(AI) Tot. Necrosis Area
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.tissue,(AI) No. of Cells in Tissue,(AI) N Cells in Tissue
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cancer.cells.in.tumor,(AI) No. of Cancer Cells in Tumor,(AI) N Ca. Cells in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.fibroblasts.in.tumor,(AI) No. of Fibroblasts in Tumor,(AI) N Fibro. in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.macrophages.in.tumor,(AI) No. of Macrophages in Tumor,(AI) N Macro. in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.plasma.cells.in.tumor,(AI) No. of Plasma Cells in Tumor,(AI) N Plasma Cells in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.lymphocytes.in.tumor,(AI) No. of Lymphocytes in Tumor,(AI) N Lymph. in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.neutrophils.in.tumor,(AI) No. of Neutrophils in Tumor,(AI) N Neutro. in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.endothelial.cells.in.tumor,(AI) No. of Endothelial Cells in Tumor,(AI) N Endo. Cells in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.other.cells.in.tumor,(AI) No. of Other Cells in Tumor,(AI) N Other Cells in Tumor
Foundation.Model...TME.v1.0.1.alpha...Supporting.Result...Total.number.of.cells.in.normal.tissue,(AI) No. of Cells in Normal Tissue,(AI) N Cells in Norm. Tiss.
TumorDetect.v1.2.0...Supporting.Result...Area.of.Necrosis...mm.2,(AI) Necrosis Area [mm²],
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Scanning....,(AI) Tissue with Scanning Artifacts,(AI) Tiss. w/ Scan. Art.
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Coverslipping....,(AI) Tissue with Coverslipping Artifacts,(AI) Tiss. w/ Cover. Art.
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Sectioning....,(AI) Tissue with Sectioning Artifacts,(AI) Tiss. w/ Sect. Art.
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Grossing.Marker....,(AI) Tissue with Grossing Marker Artifacts,(AI) Tiss. w/ Gross. Art.
Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Other....,(AI) Tissue with Other Artifacts,(AI) Tiss. w/ Other Art.
Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Evaluable.Tissue...mm.2,(AI) Evaluable Tissue Area [mm²],(AI) Eval. Tissue Area
Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Total.Tissue...mm.2,(AI) Total Tissue Area [mm²],(AI) Tot. Tissue Area
log_Cautery.Crush.artefact.average_all,(Path) Cautery Crush Artifact [log],(Path) Cautery/Crush Art. [log]
